01_Feature,cfg1,cfg2,cfg3,cfg4,cfg5
CONFIG_SSL_GENERATE_X509_CERT,True,False,any,False,False
CONFIG_PLATFORM_CYGWIN,True,False,False,False,False
CONFIG_BIGINT_SLIDING_WINDOW,True,False,False,False,False
CONFIG_SSL_USE_DEFAULT_KEY,True,True,any,any,any
CONFIG_BIGINT_SQUARE,True,True,False,False,False
CONFIG_DEBUG,True,any,False,False,False
CONFIG_WIN32_USE_CRYPTO_LIB,False,False,True,False,False
CONFIG_HTTP_HAS_AUTHORIZATION,True,any,False,False,False
CONFIG_INTEGER_8BIT,False,False,False,False,False
CONFIG_USE_DEV_URANDOM,False,any,False,True,False
CONFIG_SSL_SERVER_ONLY,False,True,False,False,True
CONFIG_BIGINT_MONTGOMERY,True,False,False,False,False
CONFIG_SSL_CERT_VERIFICATION,True,False,False,True,False
CONFIG_HTTP_VERBOSE,True,any,False,False,False
CONFIG_SSL_FULL_MODE,True,False,False,True,False
CONFIG_SSL_HAS_PEM,True,False,False,False,False
CONFIG_PLATFORM_LINUX,False,True,False,True,True
CONFIG_INTEGER_16BIT,False,False,False,False,False
CONFIG_SSL_USE_PKCS12,True,any,False,any,False
CONFIG_OPENSSL_COMPATIBLE,True,any,any,any,any
CONFIG_SSL_CTX_MUTEXING,True,any,any,any,any
CONFIG_HTTP_ENABLE_DIFFERENT_USER,True,any,False,False,False
CONFIG_HTTP_IS_DAEMON,True,any,False,False,False
CONFIG_BIGINT_KARATSUBA,True,False,False,False,False
CONFIG_HTTP_HAS_CGI,True,True,False,False,False
CONFIG_SSL_SKELETON_MODE,False,False,True,False,False
CONFIG_SSL_PROT_MEDIUM,False,False,False,True,False
CONFIG_BIGINT_CHECK_ON,True,False,False,False,False
CONFIG_BIGINT_CRT,True,False,False,False,False
CONFIG_HTTP_DIRECTORIES,True,True,False,False,False
CONFIG_SSL_PROT_LOW,False,True,False,False,False
CONFIG_BIGINT_BARRETT,False,True,False,False,False
CONFIG_BINDINGS,True,True,False,False,False
CONFIG_SSL_ENABLE_CLIENT,True,False,False,True,False
CONFIG_HTTP_HAS_IPV6,any,any,False,False,False
INT16_MAX,False,any,any,any,any
INT8_MAX,False,any,any,any,any
CONFIG_PLATFORM_SOLARIS,False,any,any,any,any
CONFIG_HTTP_HAS_DIRECTORIES,True,True,any,any,any
YY_BUF_SIZE,False,any,any,any,any
YY_SKIP_YYWRAP,False,False,any,any,any
AXDEBUG,True,False,any,any,any
YY_START_STACK_INCR,False,any,any,any,any
__STDC__,False,True,False,True,any
INT32_MIN,False,any,any,any,any
yyoverflow,False,True,False,any,any
INT8_MIN,False,any,any,any,any
YY_EXTRA_TYPE,False,any,any,any,any
YYINITDEPTH,False,any,any,any,any
YYSTACK_RELOCATE,True,any,False,any,any
_STRING_H,False,True,any,False,any
__GLIBC__,False,True,any,False,any
NOMMU,False,any,any,any,any
INT32_MAX,False,any,any,any,any
YY_NEED_STRLEN,True,any,any,any,any
YYSTACK_USE_ALLOCA,False,False,True,any,any
YY_USER_INIT,True,any,any,any,any
YY_STRUCT_YY_BUFFER_STATE,False,any,any,any,any
FLEXINT_H,False,any,any,any,any
YYERROR_VERBOSE,True,True,True,True,False
__cplusplus,False,True,False,False,any
_GNU_SOURCE,False,True,any,False,any
YYSIZE_T,False,False,any,any,any
YY_TYPEDEF_YY_BUFFER_STATE,False,any,any,any,any
YYTOKENTYPE,False,any,any,any,any
INT16_MIN,False,any,any,any,any
UINT8_MAX,False,any,any,any,any
UINT32_MAX,False,any,any,any,any
YY_NO_INPUT,False,False,any,any,any
YYDEBUG,True,True,False,any,any
YY_DECL,False,any,any,any,any
OLD_NCURSES,True,False,any,any,any
alloca,False,True,any,any,any
YY_FATAL_ERROR,False,any,any,any,any
YYSTYPE_IS_TRIVIAL,True,any,any,any,any
__GNUC__,True,True,any,any,any
YY_INPUT,False,any,any,any,any
yystrlen,False,False,any,False,any
YY_TYPEDEF_YY_SIZE_T,False,any,any,any,any
YYFPRINTF,False,any,any,any,any
yystpcpy,False,False,any,False,any
YYPRINT,True,any,any,any,any
UINT16_MAX,False,any,any,any,any
STDIN_FILENO,False,any,any,any,any
YYSTACK_ALLOC,False,False,True,any,any
YY_USE_CONST,True,False,any,any,any
yyterminate,False,any,any,any,any
YYLEX_PARAM,True,False,any,any,any
YYLLOC_DEFAULT,False,any,any,any,any
YYMAXDEPTH,False,any,any,any,any
CONFIG_ENABLE_VERIFICATION,True,any,False,any,any
yytext_ptr,False,any,any,any,any
_ALLOCA_H,False,True,any,any,any
HAVE_IPV6,True,False,any,any,any
YY_DECL_IS_OURS,True,any,any,any,any
size_t,True,any,any,any,any
YY_BREAK,False,any,any,any,any
YYSTYPE,False,any,any,any,any
WIN32,False,True,True,False,any
YYPARSE_PARAM,False,False,True,True,any
YYSTYPE_IS_DECLARED,False,any,any,any,any
YY_READ_BUF_SIZE,False,any,any,any,any
YY_USER_ACTION,False,any,any,any,any
YY_EXIT_FAILURE,False,any,any,any,any
ECHO,False,any,any,any,any
__SIZE_TYPE__,True,any,any,any,any
_WIN32_WCE,any,False,True,any,any
