01_Required Features,Associated Requirement(s)
CONFIG_SSL_TEST,"['AXTLS-4.1.1.2', 'AXTLS-27']"
CONFIG_PLATFORM_WIN32,"['AXTLS-1.1', 'AXTLS-1.1.1', 'AXTLS-1.1.2', 'AXTLS-10', 'AXTLS-11', 'AXTLS-12', 'AXTLS-13', 'AXTLS-14', 'AXTLS-15', 'AXTLS-16']"
CONFIG_JAVA_SAMPLES,"['AXTLS-8.4', 'AXTLS-24']"
CONFIG_C_SAMPLES,['AXTLS-8.1']
CONFIG_HTTP_BUILD_LUA,['AXTLS-6.8.1.1']
CONFIG_AXHTTPD,"['AXTLS-6', 'AXTLS-6.1', 'AXTLS-6.2', 'AXTLS-6.3', 'AXTLS-6.4', 'AXTLS-6.5', 'AXTLS-6.6', 'AXTLS-6.7', 'AXTLS-6.8']"
CONFIG_SSL_PROT_HIGH,['AXTLS-4.2.1']
CONFIG_VBNET_SAMPLES,"['AXTLS-8.3', 'AXTLS-23']"
CONFIG_INTEGER_32BIT,['AXTLS-9.7.1']
CONFIG_PERL_SAMPLES,"['AXTLS-8.5', 'AXTLS-25']"
CONFIG_VISUAL_STUDIO_7_0,['AXTLS-1.1.2.1']
CONFIG_CSHARP_SAMPLES,"['AXTLS-8.2', 'AXTLS-22']"
CONFIG_VISUAL_STUDIO_8_0,['AXTLS-1.1.2.1']
CONFIG_LUA_SAMPLES,"['AXTLS-8.6', 'AXTLS-26']"
CONFIG_STRIP_UNWANTED_SECTIONS,"['AXTLS-3', 'AXTLS-21']"
CONFIG_BIGINT_CLASSICAL,['AXTLS-9.1.1']
CONFIG_VISUAL_STUDIO_10_0,['AXTLS-1.1.2.1']
CONFIG_PERFORMANCE_TESTING,['AXTLS-4.1.1.1']
CONFIG_AXTLSWRAP,"['AXTLS-5', 'AXTLS-13']"
CONFIG_SAMPLES,"['AXTLS-8', 'AXTLS-8.1', 'AXTLS-8.2', 'AXTLS-8.3', 'AXTLS-8.4', 'AXTLS-8.5', 'AXTLS-8.6']"
CONFIG_CSHARP_BINDINGS,"['AXTLS-7.1', 'AXTLS-22']"
CONFIG_HTTP_STATIC_BUILD,['AXTLS-6.1']
CONFIG_JAVA_BINDINGS,"['AXTLS-7.3', 'AXTLS-24']"
CONFIG_LUA_BINDINGS,"['AXTLS-7.5', 'AXTLS-12', 'AXTLS-26']"
CONFIG_PERL_BINDINGS,"['AXTLS-7.4', 'AXTLS-25']"
CONFIG_VBNET_BINDINGS,"['AXTLS-7.2', 'AXTLS-23']"
CONFIG_HTTP_ENABLE_LUA,"['AXTLS-6.8.1', 'AXTLS-6.8.1.1']"
